date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:30:15	1490/1490	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2025%20Dec%202024%2015:30:20%20GMT	https://connectnodefix.vercel.app/robots.txt		(from )
16:30:15	103899/103899	---MCZ	200	added ('OK')	text/html	etag:W/%220c7ca5ab84fb9902305826fc4ca2bb1f%22	https://connectnodefix.vercel.app/	C:/My%20Web%20Sites/Connect%20Node/connectnodefix.vercel.app/index.html	(from )
16:30:16	165932/165932	---M--	200	added ('OK')	image/png	etag:%22dbe9f84dd55a57b58b777a685f8d0ab9%22	https://connectnodefix.vercel.app/img/banner.png	C:/My%20Web%20Sites/Connect%20Node/connectnodefix.vercel.app/img/banner.png	(from https://connectnodefix.vercel.app/)
16:30:17	9454/9454	---M--	200	added ('OK')	image/png	etag:%22565e8c524f6da22928811f836d0b92a2%22	https://assets.coingecko.com/coins/images/1/large/bitcoin.png?1547033579	C:/My%20Web%20Sites/Connect%20Node/assets.coingecko.com/coins/images/1/large/bitcoin7158.png	(from https://connectnodefix.vercel.app/)
16:30:17	9561/9561	---M--	200	added ('OK')	image/png	etag:%22af87366546180c799987073ac53f0733%22	https://assets.coingecko.com/coins/images/279/large/ethereum.png?1595348880	C:/My%20Web%20Sites/Connect%20Node/assets.coingecko.com/coins/images/279/large/ethereum4471.png	(from https://connectnodefix.vercel.app/)
16:30:18	10256/10256	---M--	200	added ('OK')	image/png	etag:%2297b8cf4915e4d0137df242de72add0c1%22	https://assets.coingecko.com/coins/images/738/large/eos-eos-logo.png?1547034481	C:/My%20Web%20Sites/Connect%20Node/assets.coingecko.com/coins/images/738/large/eos-eos-logoe694.png	(from https://connectnodefix.vercel.app/)
16:30:18	9653/9653	---M--	200	added ('OK')	image/png	etag:%228c9a8c477f324c88cead49db9a5fc1a2%22	https://assets.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1605778731	C:/My%20Web%20Sites/Connect%20Node/assets.coingecko.com/coins/images/44/large/xrp-symbol-white-128749a.png	(from https://connectnodefix.vercel.app/)
16:30:18	5120/5120	---M--	200	added ('OK')	image/png	etag:%222cb0c91b0d82542c140d900d549dddc0%22	https://assets.coingecko.com/coins/images/2/large/litecoin.png?1547033580	C:/My%20Web%20Sites/Connect%20Node/assets.coingecko.com/coins/images/2/large/litecoineb4a.png	(from https://connectnodefix.vercel.app/)
16:30:19	97184/97184	---MCZ	200	added ('OK')	text/html	etag:W/%22d26090ff0cc1dd4ccfe2132d6f10094a%22	https://connectnodefix.vercel.app/gdgey.html	C:/My%20Web%20Sites/Connect%20Node/connectnodefix.vercel.app/gdgey.html	(from https://connectnodefix.vercel.app/)
16:30:20	3739/3739	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2025%20Dec%202024%2015:30:25%20GMT	https://connectnodefix.vercel.app/www.coinnsnodes.live/index.html	C:/My%20Web%20Sites/Connect%20Node/connectnodefix.vercel.app/www.coinnsnodes.live/index.16.delayed	(from https://connectnodefix.vercel.app/gdgey.html)
